idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
2110056;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;3
2110057;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;3
2110058;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;3
2110059;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;3
2110060;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;3
2110061;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;lessCorrelation;3
2110062;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;lessMissing;3
2110063;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;moreCorrelation;3
2110064;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;moreMissing;3
2110065;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;noSort;3
2110066;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;lessCorrelation;3
2110067;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;lessMissing;3
2110068;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;moreCorrelation;3
2110069;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;moreMissing;3
2110070;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;noSort;3
2110071;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;3
2110072;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;3
2110073;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;3
2110074;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;3
2110075;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;3
2110076;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;3
2110077;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;3
2110078;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;3
2110079;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;3
2110080;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;3
2110081;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;5
2110082;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;5
2110083;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;5
2110084;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;5
2110085;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;5
2110086;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;5
2110087;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;5
2110088;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;5
2110089;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;5
2110090;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;5
2110091;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;5
2110092;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;5
2110093;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;5
2110094;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;5
2110095;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;5
2110096;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;5
2110097;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;5
2110098;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;5
2110099;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;5
