idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
6110055;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;3
6110056;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;3
6110057;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;3
6110058;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;3
6110059;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;3
6110060;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;3
6110061;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;lessCorrelation;3
6110062;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;lessMissing;3
6110063;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;moreCorrelation;3
6110064;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;moreMissing;3
6110065;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;noSort;3
6110066;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;lessCorrelation;3
6110067;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;lessMissing;3
6110068;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;moreCorrelation;3
6110069;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;moreMissing;3
6110070;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;noSort;3
6110071;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;3
6110072;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;3
6110073;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;3
6110074;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;3
6110075;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;3
6110076;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;3
6110077;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;3
6110078;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;3
6110079;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;3
6110080;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;3
6110081;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;5
6110082;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;5
6110083;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;5
6110084;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;5
6110085;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;5
6110086;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;5
6110087;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;5
6110088;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;5
6110089;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;5
6110090;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;5
6110091;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;5
