idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
7110049;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;3
7110050;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;3
7110051;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;3
7110052;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;3
7110053;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;3
7110054;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;3
7110055;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;3
7110056;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;3
7110057;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;3
7110058;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;3
7110059;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;3
7110060;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;3
7110061;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;lessCorrelation;3
7110062;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;lessMissing;3
7110063;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;moreCorrelation;3
7110064;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;moreMissing;3
7110065;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;noSort;3
7110066;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;lessCorrelation;3
7110067;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;lessMissing;3
7110068;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;moreCorrelation;3
7110069;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;moreMissing;3
7110070;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;noSort;3
7110071;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;3
7110072;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;3
7110073;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;3
7110074;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;3
7110075;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;3
7110076;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;3
7110077;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;3
7110078;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;3
7110079;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;3
7110080;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;3
7110081;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;5
7110082;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;5
7110083;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;5
7110084;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;5
7110085;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;5
7110086;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;5
7110087;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;5
7110088;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;5
7110089;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;5
